日期,公司,比赛队伍,赢(最新),平(最新),输(最新),赢(最旧),平(最旧),输(最旧),最新时间,最旧时间
'2021-09-05 19:15,威廉希尔,PSM马卡萨 - 阿雷玛(1-1),3.90,3.10,1.91,3.30,3.00,2.15,'2021-09-05 18:32:00,'2021-09-05 16:19:00
'2021-09-05 19:15,威廉希尔,PSM马卡萨 - 阿雷玛(1-1),3.90,3.10,1.91,3.30,3.00,2.15,'2021-09-05 18:32:00,'2021-09-05 16:19:00
'2021-09-05 20:30,百家欧赔,戈梅尔火车头 - 德内普(1-1),2.86,3.21,2.25,2.97,3.34,2.12,'2021-09-05 20:29:02,'2021-08-29 19:32:57
'2021-09-05 20:30,威廉希尔,戈梅尔火车头 - 德内普(1-1),2.88,3.00,2.30,2.90,3.30,2.10,'2021-09-05 20:25:00,'2021-09-01 22:25:00
'2021-09-05 20:30,威廉希尔,戈梅尔火车头 - 德内普(1-1),2.88,3.00,2.30,2.90,3.30,2.10,'2021-09-05 20:25:00,'2021-09-01 22:25:00
'2021-09-05 20:30,威廉希尔,戈梅尔火车头 - 德内普(1-1),2.88,3.00,2.30,2.90,3.30,2.10,'2021-09-05 20:25:00,'2021-09-01 22:25:00
'2021-09-05 21:00,百家欧赔,挪臂 - 维萨隆德(0-0),1.64,3.99,4.62,1.60,3.91,4.97,'2021-09-05 20:59:13,'2021-08-25 15:36:26
'2021-09-05 21:00,威廉希尔,挪臂 - 维萨隆德(0-0),1.57,3.75,5.00,1.57,3.50,5.50,'2021-09-05 20:54:00,'2021-08-26 00:30:00
'2021-09-05 21:00,百家欧赔,1922科尼亚 - 塔素斯(0-0),6.32,4.57,1.37,5.07,4.24,1.59,'2021-09-05 20:59:14,'2021-09-05 02:43:25
'2021-09-05 21:00,威廉希尔,1922科尼亚 - 塔素斯(0-0),7.50,4.20,1.33,8.50,4.50,1.29,'2021-09-05 20:59:00,'2021-09-05 18:18:00
'2021-09-05 21:00,百家欧赔,卢旺达 - 肯尼亚(1-1),2.58,2.67,3.04,2.29,2.86,3.25,'2021-09-05 20:59:14,'2021-09-02 21:56:27
'2021-09-05 21:00,威廉希尔,卢旺达 - 肯尼亚(1-1),2.63,2.70,3.10,2.30,2.90,3.40,'2021-09-05 20:46:00,'2021-09-03 00:22:00
'2021-09-05 21:30,百家欧赔,萨热耶尔 - 埃尔盖内(1-1),1.70,3.50,4.19,1.68,3.55,4.22,'2021-09-05 21:29:24,'2021-09-05 00:32:41
'2021-09-05 21:30,威廉希尔,萨热耶尔 - 埃尔盖内(1-1),1.70,3.30,4.33,1.70,3.30,4.33,'2021-09-05 18:18:00,'2021-09-05 18:18:00
'2021-09-05 21:30,百家欧赔,斯莱曼 - 佩西加雅加达(1-1),4.39,3.31,1.74,2.99,3.18,2.41,'2021-09-05 21:29:24,'2021-09-04 23:52:27
'2021-09-05 21:30,威廉希尔,斯莱曼 - 佩西加雅加达(1-1),5.50,3.40,1.62,3.90,3.10,1.91,'2021-09-05 21:28:00,'2021-09-05 16:19:00
'2021-09-05 22:00,百家欧赔,多加尔普戴 - 弗拉季高加索(1-1),4.95,3.90,1.57,4.91,3.77,1.58,'2021-09-05 21:49:30,'2021-09-02 17:35:09
'2021-09-05 22:00,威廉希尔,多加尔普戴 - 弗拉季高加索(1-1),5.00,3.75,1.57,5.00,3.70,1.57,'2021-09-05 21:21:00,'2021-09-04 02:27:00
'2021-09-05 22:00,百家欧赔,伊比萨城 - 亚摩勒比塔(1-1),1.84,3.13,4.62,2.14,2.91,3.66,'2021-09-05 21:59:34,'2021-08-28 22:26:40
'2021-09-05 22:00,威廉希尔,伊比萨城 - 亚摩勒比塔(1-1),1.80,3.20,5.00,2.10,3.00,3.80,'2021-09-05 21:19:00,'2021-08-29 04:22:00
'2021-09-05 22:00,百家欧赔,阿特兰大竞技 - 甘拿斯亚(1-1),2.47,2.69,3.19,2.69,2.69,2.86,'2021-09-05 21:59:34,'2021-09-02 17:35:10
'2021-09-05 22:00,威廉希尔,阿特兰大竞技 - 甘拿斯亚(1-1),2.50,2.70,3.10,2.60,2.63,3.10,'2021-09-05 21:12:00,'2021-09-03 00:22:00
'2021-09-05 22:00,百家欧赔,米特雷沙尔塔 - 里奥夸托(1-1),2.64,2.66,2.97,2.88,2.77,2.58,'2021-09-05 21:59:34,'2021-09-02 17:35:10
'2021-09-05 22:00,威廉希尔,米特雷沙尔塔 - 里奥夸托(1-1),2.50,2.70,3.10,3.00,2.75,2.50,'2021-09-05 21:54:00,'2021-09-03 00:22:00
'2021-09-05 23:00,百家欧赔,蒙特港 - 圣塔克鲁兹(2-2),2.13,2.98,3.34,2.11,3.07,3.29,'2021-09-05 22:59:51,'2021-09-05 10:45:56
'2021-09-05 23:00,威廉希尔,蒙特港 - 圣塔克鲁兹(2-2),2.10,3.10,3.30,2.00,3.20,3.25,'2021-09-05 22:36:00,'2021-09-03 02:38:00
'2021-09-05 23:00,百家欧赔,沃罗涅日火炬 - 克拉斯诺B(0-0),1.52,3.88,5.57,1.61,3.79,4.69,'2021-09-05 22:59:52,'2021-09-02 17:35:09
'2021-09-05 23:00,威廉希尔,沃罗涅日火炬 - 克拉斯诺B(0-0),1.50,3.80,5.80,1.62,3.70,4.80,'2021-09-05 22:44:00,'2021-09-04 02:27:00
'2021-09-05 23:00,百家欧赔,尤尼恩斯塔斯 - 莱昂内萨(2-2),2.63,2.88,2.66,2.58,2.93,2.64,'2021-09-05 22:59:52,'2021-08-31 23:34:22
'2021-09-05 23:00,威廉希尔,尤尼恩斯塔斯 - 莱昂内萨(2-2),2.60,2.75,2.70,2.60,2.88,2.60,'2021-09-05 11:07:00,'2021-09-02 00:20:00
'2021-09-05 23:30,百家欧赔,比士托尔斯 - 格罗瑟托(1-1),2.53,2.93,2.73,2.38,3.02,2.83,'2021-09-05 23:30:01,'2021-08-30 21:58:28
'2021-09-05 23:30,威廉希尔,比士托尔斯 - 格罗瑟托(1-1),2.63,2.88,2.70,2.25,3.00,3.00,'2021-09-05 23:29:00,'2021-09-01 22:25:00
'2021-09-05 23:30,百家欧赔,特拉莫 - 锡耶纳(0-0),3.01,2.97,2.32,2.89,3.00,2.36,'2021-09-05 23:30:01,'2021-08-30 20:38:10
'2021-09-05 23:30,威廉希尔,特拉莫 - 锡耶纳(0-0),3.00,2.80,2.45,2.75,3.00,2.40,'2021-09-05 23:29:00,'2021-09-01 22:25:00
'2021-09-05 23:30,百家欧赔,比沙奴 - 彭特德拉(2-2),2.17,2.97,3.32,2.06,3.05,3.42,'2021-09-05 23:30:01,'2021-08-30 20:38:10
'2021-09-05 23:30,威廉希尔,比沙奴 - 彭特德拉(2-2),2.20,2.88,3.40,2.00,3.00,3.60,'2021-09-05 19:22:00,'2021-09-01 22:25:00
'2021-09-05 23:59,百家欧赔,冰岛 - 北马其顿(2-2),2.55,3.06,2.98,2.25,3.31,3.13,'2021-09-05 23:50:06,'2021-08-31 17:02:36
'2021-09-05 23:59,威廉希尔,冰岛 - 北马其顿(2-2),2.50,3.10,2.88,2.20,3.25,3.20,'2021-09-05 23:58:00,'2021-08-31 22:22:00
'2021-09-05 23:59,百家欧赔,巴蒂卡 - 莫斯科鱼雷(1-1),4.09,3.37,1.83,2.87,3.15,2.31,'2021-09-05 23:50:07,'2021-09-02 17:35:09
'2021-09-05 23:59,威廉希尔,巴蒂卡 - 莫斯科鱼雷(1-1),3.80,3.40,1.85,2.90,3.10,2.30,'2021-09-05 23:58:00,'2021-09-04 02:27:00
'2021-09-05 23:59,百家欧赔,云斯卡尔达斯 - 布卡拉曼格(1-1),2.40,3.06,2.83,2.37,3.08,2.84,'2021-09-05 23:40:04,'2021-08-30 21:58:28
'2021-09-05 23:59,威廉希尔,云斯卡尔达斯 - 布卡拉曼格(1-1),2.40,3.00,2.90,2.38,2.90,3.10,'2021-09-05 23:25:00,'2021-09-01 22:25:00
'2021-09-05 23:59,百家欧赔,奥波莱 - 维德祖罗(0-0),3.00,3.12,2.30,2.79,3.17,2.38,'2021-09-05 23:50:07,'2021-08-30 11:06:17
'2021-09-05 23:59,威廉希尔,奥波莱 - 维德祖罗(0-0),3.10,3.00,2.25,2.75,3.10,2.40,'2021-09-05 23:43:00,'2021-08-30 20:55:00
'2021-09-05 23:59,百家欧赔,比利时U19 - 捷克U19(3-3),2.34,3.29,2.75,2.34,3.29,2.75,'2021-09-05 23:40:04,'2021-09-05 10:56:00
'2021-09-05 23:59,百家欧赔,比利时U19 - 捷克U19(3-3),2.34,3.29,2.75,2.34,3.29,2.75,'2021-09-05 23:40:04,'2021-09-05 10:56:00
'2021-09-04 01:00,百家欧赔,罗森海姆 - 斯切丁喜宁(2-2),3.79,3.95,1.73,3.74,3.73,1.77,'2021-09-04 00:54:45,'2021-08-25 01:32:23
'2021-09-04 01:00,威廉希尔,罗森海姆 - 斯切丁喜宁(2-2),3.50,3.70,1.85,4.00,3.70,1.73,'2021-09-04 00:57:00,'2021-09-02 20:19:00
'2021-09-04 01:00,百家欧赔,布尔格 - 勒芒(1-1),2.11,3.05,3.44,2.22,2.99,3.20,'2021-09-04 00:54:45,'2021-08-28 19:15:22
'2021-09-04 01:00,威廉希尔,布尔格 - 勒芒(1-1),2.05,3.00,3.60,2.15,3.00,3.30,'2021-09-04 00:57:00,'2021-08-28 22:40:00
'2021-09-04 01:00,百家欧赔,沙托鲁 - 布里欧齐(0-0),1.93,3.08,4.03,1.94,3.08,3.96,'2021-09-04 00:54:45,'2021-08-28 19:25:26
'2021-09-04 01:00,威廉希尔,沙托鲁 - 布里欧齐(0-0),1.95,3.20,3.75,2.00,3.00,3.75,'2021-09-04 00:57:00,'2021-08-28 22:40:00
'2021-09-04 01:30,百家欧赔,费耶诺德女足 - 海伦芬女足(2-2),1.76,3.87,3.52,1.79,3.91,3.37,'2021-09-04 01:14:56,'2021-09-02 12:43:50
'2021-09-04 01:30,威廉希尔,费耶诺德女足 - 海伦芬女足(2-2),1.75,3.60,3.70,1.80,3.60,3.50,'2021-09-04 00:48:00,'2021-09-03 18:18:00
'2021-09-04 01:30,百家欧赔,阿尔赫西拉斯 - 雷乌斯(2-2),2.58,2.78,2.83,2.34,3.08,2.90,'2021-09-04 01:25:00,'2021-08-31 20:43:40
'2021-09-04 01:30,威廉希尔,阿尔赫西拉斯 - 雷乌斯(2-2),2.38,2.80,2.90,2.40,3.20,2.60,'2021-09-04 01:27:00,'2021-09-01 00:22:00
'2021-09-04 02:30,百家欧赔,哥罗纳 - 莱格尼察(0-0),2.81,3.02,2.50,2.36,3.24,2.81,'2021-09-04 02:25:20,'2021-08-30 01:14:24
'2021-09-04 02:30,威廉希尔,哥罗纳 - 莱格尼察(0-0),2.70,3.00,2.50,2.38,3.10,2.80,'2021-09-04 02:26:00,'2021-08-30 14:21:00
'2021-09-04 02:30,百家欧赔,巴拉卡 - 费罗卡利(0-0),2.52,2.67,3.10,2.61,2.76,2.88,'2021-09-04 02:25:21,'2021-09-02 01:30:50
'2021-09-04 02:30,威廉希尔,巴拉卡 - 费罗卡利(0-0),2.50,2.70,3.10,2.63,2.70,3.00,'2021-09-04 02:26:00,'2021-09-02 14:25:00
'2021-09-04 02:45,百家欧赔,德罗赫达联 - 斯莱戈流浪(0-0),3.07,2.94,2.39,2.76,3.07,2.49,'2021-09-04 02:35:23,'2021-08-26 22:16:26
'2021-09-04 02:45,威廉希尔,德罗赫达联 - 斯莱戈流浪(0-0),3.10,2.90,2.38,2.88,3.00,2.45,'2021-09-04 02:42:00,'2021-08-30 10:25:00
'2021-09-04 02:45,百家欧赔,沃特福德联合 - 邓多克(1-1),3.23,3.34,2.17,4.81,3.62,1.66,'2021-09-04 02:35:23,'2021-08-26 22:16:26
'2021-09-04 02:45,威廉希尔,沃特福德联合 - 邓多克(1-1),3.20,3.40,2.25,5.50,3.60,1.62,'2021-09-03 22:24:00,'2021-08-29 10:19:00
'2021-09-04 02:45,威廉希尔,沃特福德联合 - 邓多克(1-1),3.20,3.40,2.25,5.50,3.60,1.62,'2021-09-03 22:24:00,'2021-08-29 10:19:00
'2021-09-04 02:45,威廉希尔,沃特福德联合 - 邓多克(1-1),3.20,3.40,2.25,5.50,3.60,1.62,'2021-09-03 22:24:00,'2021-08-29 10:19:00
'2021-09-04 04:00,百家欧赔,苏利亚 - FC波图格萨(0-0),2.28,3.15,2.85,2.47,3.13,2.64,'2021-09-04 03:55:50,'2021-09-03 10:30:11
'2021-09-04 04:00,威廉希尔,苏利亚 - FC波图格萨(0-0),2.30,3.25,2.88,2.38,3.20,2.80,'2021-09-04 03:58:00,'2021-09-03 14:18:00
'2021-09-04 06:00,百家欧赔,普拉斯哥野 - 阿瓦伊(0-0),2.93,2.90,2.50,2.84,2.98,2.49,'2021-09-04 05:56:29,'2021-08-28 22:26:40
'2021-09-04 06:00,威廉希尔,普拉斯哥野 - 阿瓦伊(0-0),2.88,2.90,2.63,3.00,3.00,2.50,'2021-09-04 05:57:00,'2021-08-29 06:24:00
'2021-09-04 06:00,百家欧赔,瓦斯科达伽马 - 佩洛塔(1-1),1.45,3.86,7.56,1.52,3.66,6.46,'2021-09-04 05:56:29,'2021-08-28 22:36:44
'2021-09-04 06:00,威廉希尔,瓦斯科达伽马 - 佩洛塔(1-1),1.44,4.00,8.50,1.55,3.70,6.50,'2021-09-04 05:52:00,'2021-08-29 06:24:00
'2021-09-04 06:00,百家欧赔,防御与正义 - 中央SDE(1-1),1.90,3.28,4.02,1.80,3.39,4.26,'2021-09-04 05:56:29,'2021-08-30 10:36:11
'2021-09-04 06:00,威廉希尔,防御与正义 - 中央SDE(1-1),1.91,3.30,4.00,1.75,3.50,4.60,'2021-09-04 05:20:00,'2021-08-30 20:53:00
'2021-09-04 06:10,百家欧赔,拉斐拉竞技 - 格梅斯竞技(1-1),3.03,2.67,2.58,2.82,2.77,2.62,'2021-09-04 06:06:32,'2021-09-02 01:30:50
'2021-09-04 06:10,威廉希尔,拉斐拉竞技 - 格梅斯竞技(1-1),3.00,2.60,2.70,2.90,2.70,2.70,'2021-09-04 05:57:00,'2021-09-02 14:25:00
'2021-09-04 06:15,百家欧赔,圭亚那矿工 - 中央大学(1-1),2.19,3.19,2.97,2.04,3.23,3.30,'2021-09-04 06:06:32,'2021-09-02 09:53:06
'2021-09-04 06:15,威廉希尔,圭亚那矿工 - 中央大学(1-1),2.25,3.20,2.90,1.91,3.30,3.90,'2021-09-04 06:13:00,'2021-09-03 14:18:00
'2021-09-04 08:30,百家欧赔,阿拉戈亚 - 维拉诺瓦(1-1),2.15,2.80,3.79,1.93,3.05,4.08,'2021-09-04 08:27:16,'2021-08-28 22:36:44
'2021-09-04 08:30,威廉希尔,阿拉戈亚 - 维拉诺瓦(1-1),2.15,2.88,3.90,1.95,3.10,4.20,'2021-09-04 08:13:00,'2021-08-29 06:24:00
'2021-09-04 12:30,百家欧赔,釜山偶像 - 大田市民(1-1),2.80,3.15,2.38,2.71,3.13,2.43,'2021-09-04 12:28:33,'2021-08-25 13:15:44
'2021-09-04 12:30,威廉希尔,釜山偶像 - 大田市民(1-1),2.80,3.10,2.38,2.80,3.10,2.40,'2021-09-04 07:18:00,'2021-09-01 06:25:00
'2021-09-04 13:00,百家欧赔,扬州市民 - 昌原(1-1),4.48,3.33,1.73,4.67,3.36,1.69,'2021-09-04 12:58:43,'2021-08-29 00:07:16
'2021-09-04 13:00,威廉希尔,扬州市民 - 昌原(1-1),4.50,3.20,1.70,4.50,3.10,1.73,'2021-09-04 11:48:00,'2021-09-04 07:18:00
'2021-09-04 13:30,百家欧赔,坎伯兰联 - 阿德莱德城(2-2),4.65,4.13,1.57,4.47,3.90,1.61,'2021-09-04 13:28:53,'2021-09-02 15:44:38
'2021-09-04 13:30,威廉希尔,坎伯兰联 - 阿德莱德城(2-2),5.50,4.40,1.44,4.60,3.75,1.62,'2021-09-04 13:28:00,'2021-09-04 08:20:00
'2021-09-04 15:00,百家欧赔,格韦鲁普 - 阿马达尔(1-1),1.84,4.11,3.59,1.92,3.94,3.07,'2021-09-04 14:59:23,'2021-09-03 12:00:36
'2021-09-04 15:00,威廉希尔,格韦鲁普 - 阿马达尔(1-1),1.85,3.90,3.25,1.91,3.80,3.20,'2021-09-04 14:58:00,'2021-09-04 07:10:00
'2021-09-04 15:00,百家欧赔,珀斯SC - 巴尔卡塔(0-0),1.34,5.07,6.45,1.41,4.68,5.70,'2021-09-04 14:59:23,'2021-09-03 12:00:36
'2021-09-04 15:00,威廉希尔,珀斯SC - 巴尔卡塔(0-0),1.36,4.60,6.50,1.35,4.60,7.00,'2021-09-04 14:42:00,'2021-09-04 14:35:00
'2021-09-04 15:30,百家欧赔,黑龙江冰城 - 四川九牛(1-1),2.14,3.19,3.16,2.07,3.35,3.16,'2021-09-04 15:29:35,'2021-09-03 23:24:14
'2021-09-04 15:30,威廉希尔,黑龙江冰城 - 四川九牛(1-1),2.30,3.00,3.00,2.10,3.20,3.10,'2021-09-04 15:29:00,'2021-09-04 07:05:00
'2021-09-04 16:00,百家欧赔,皮特什蒂 - 布快速(2-2),2.37,3.24,2.45,2.37,3.24,2.45,'2021-09-04 15:49:42,'2021-09-04 15:49:42
'2021-09-04 16:00,百家欧赔,皮特什蒂 - 布快速(2-2),2.37,3.24,2.45,2.37,3.24,2.45,'2021-09-04 15:49:42,'2021-09-04 15:49:42
'2021-09-04 17:00,百家欧赔,新泻天鹅 - 北九州向日葵(0-0),1.46,4.32,6.15,1.46,4.10,6.32,'2021-09-04 16:50:02,'2021-08-25 17:37:03
'2021-09-04 17:00,威廉希尔,新泻天鹅 - 北九州向日葵(0-0),1.44,3.90,6.50,1.40,3.90,8.00,'2021-09-04 16:57:00,'2021-08-27 00:20:00
'2021-09-04 18:00,百家欧赔,城南FC - 大邱FC(0-0),3.38,3.02,2.19,3.16,3.01,2.27,'2021-09-04 17:50:24,'2021-08-29 20:33:13
'2021-09-04 18:00,威廉希尔,城南FC - 大邱FC(0-0),3.50,3.10,2.15,3.20,3.00,2.38,'2021-09-04 17:17:00,'2021-08-30 10:17:00
'2021-09-04 18:00,百家欧赔,蔚山市民 - 金海(0-0),2.51,3.16,2.57,2.70,3.10,2.45,'2021-09-04 17:50:24,'2021-08-29 00:07:16
'2021-09-04 18:00,威廉希尔,蔚山市民 - 金海(0-0),2.50,3.00,2.60,2.45,3.00,2.63,'2021-09-04 17:44:00,'2021-09-04 07:18:00
'2021-09-04 18:00,威廉希尔,蔚山市民 - 金海(0-0),2.50,3.00,2.60,2.45,3.00,2.63,'2021-09-04 17:44:00,'2021-09-04 07:18:00
'2021-09-04 18:00,威廉希尔,蔚山市民 - 金海(0-0),2.50,3.00,2.60,2.45,3.00,2.63,'2021-09-04 17:44:00,'2021-09-04 07:18:00
'2021-09-04 18:30,百家欧赔,巴拉诺维奇 - 沃尔纳平斯克(3-3),4.43,3.90,1.60,5.03,3.89,1.54,'2021-09-04 18:20:34,'2021-08-29 19:53:02
'2021-09-04 18:30,威廉希尔,巴拉诺维奇 - 沃尔纳平斯克(3-3),4.60,3.60,1.60,5.50,3.80,1.50,'2021-09-04 18:09:00,'2021-09-01 22:23:00
'2021-09-04 18:40,百家欧赔,琴斯托火花 - 索斯诺维茨(0-0),3.72,3.32,2.03,2.96,3.20,2.32,'2021-09-04 18:30:39,'2021-08-30 03:24:54
'2021-09-04 18:40,威廉希尔,琴斯托火花 - 索斯诺维茨(0-0),1.85,3.30,3.90,3.00,3.00,2.30,'2021-09-04 18:09:00,'2021-08-30 20:54:00
'2021-09-04 19:00,百家欧赔,法尔肯堡 - 艾克罗保利斯(3-3),1.73,3.66,4.53,2.02,3.39,3.46,'2021-09-04 18:50:46,'2021-08-25 16:36:44
'2021-09-04 19:00,威廉希尔,法尔肯堡 - 艾克罗保利斯(3-3),1.62,3.70,4.80,2.15,3.10,3.20,'2021-09-04 18:54:00,'2021-08-26 00:30:00
'2021-09-04 19:00,百家欧赔,斯克维德 - 永斯基(1-1),2.12,3.42,2.99,2.04,3.48,3.07,'2021-09-04 18:50:46,'2021-09-02 06:02:06
'2021-09-04 19:00,威廉希尔,斯克维德 - 永斯基(1-1),2.10,3.20,3.00,2.15,3.25,2.88,'2021-09-04 18:54:00,'2021-09-04 07:18:00
'2021-09-04 19:00,百家欧赔,巴蜀基利 - 蒙通联(2-2),3.39,3.36,1.97,3.21,3.37,2.03,'2021-09-04 18:40:43,'2021-09-03 14:51:27
'2021-09-04 19:00,威廉希尔,巴蜀基利 - 蒙通联(2-2),3.50,3.20,1.91,3.20,3.25,2.00,'2021-09-04 18:54:00,'2021-09-04 10:19:00
'2021-09-04 19:00,百家欧赔,南邦 - 芒坎联(1-1),4.82,4.07,1.62,3.19,3.66,2.35,'2021-09-04 18:50:47,'2021-09-04 13:28:54
'2021-09-04 19:00,威廉希尔,南邦 - 芒坎联(1-1),5.80,4.20,1.40,3.20,3.40,2.00,'2021-09-04 18:54:00,'2021-09-04 16:19:00
'2021-09-04 19:00,百家欧赔,查英特 - 拉吉帕察(0-0),2.06,3.25,3.19,1.89,3.37,3.62,'2021-09-04 18:30:39,'2021-09-03 19:43:00
